system;class;lc;rb;fe;lm;nfe;nlm;classification
weka;RemoveWithValues;1;1;1;0;3;0;HetAgg
weka;AbstractAttributeSelectionTest;1;1;1;0;3;0;HetAgg
weka;BinarySparseInstance;1;1;1;0;7;0;HetAgg
weka;BIRCHCluster;1;1;1;0;7;0;HetAgg
weka;XMLBeans;1;1;1;0;3;0;HetAgg
weka;MexicanHat;1;1;1;0;1;0;HetAgg
weka;REPTree;1;1;1;1;3;1;HetAgg
weka;AbstractAssociatorTest;1;0;1;0;1;0;HetAgg
weka;Attribute;1;0;1;0;3;0;HetAgg
weka;Loader;1;1;1;0;1;0;HetAgg
weka;RemoveFrequentValues;1;1;1;0;2;0;HetAgg
weka;EditableBayesNet;1;1;1;0;13;0;HetAgg
weka;LogitBoost;1;1;1;1;2;1;HetAgg
weka;PlotData2D;1;0;1;1;7;1;HetAgg
weka;UserClassifier;1;1;1;1;2;1;HetAgg
weka;RDG1;1;1;1;0;4;0;HetAgg
weka;RemoveMisclassified;1;1;1;0;3;0;HetAgg
weka;BayesNetGenerator;1;1;1;0;3;0;HetAgg
weka;Decorate;1;1;1;0;1;0;HetAgg
weka;BayesNet;1;1;1;0;4;0;HetAgg
weka;CheckOptionHandler;1;1;1;0;3;0;HetAgg
weka;CostSensitiveClassifier;1;1;1;0;1;0;HetAgg
weka;Agrawal;1;1;1;1;1;2;HetAgg
weka;Range;1;0;0;0;0;0;UniqueLC
weka;AdaBoostM1;1;1;1;0;2;0;HetAgg
weka;SimpleCart;1;1;1;0;4;0;HetAgg
weka;AODEsr;1;1;1;1;2;1;HetAgg
weka;StringToWordVector;1;1;1;0;2;0;HetAgg
weka;DataGenerator;1;0;1;1;2;1;HetAgg
weka;FT;1;1;1;0;2;0;HetAgg
weka;WAODE;1;1;1;1;3;1;HetAgg
weka;MultiClassClassifier;1;1;1;1;3;1;HetAgg
weka;KnowledgeFlowApp;1;0;1;0;5;0;HetAgg
weka;LMT;1;1;1;0;1;0;HetAgg
weka;TechnicalInformation;1;0;1;0;1;0;HetAgg
weka;AttributeSelectedClassifier;1;1;0;1;0;1;HetAgg
weka;MathExpression;1;1;1;1;1;1;HetAgg
weka;ClassPanel;1;0;1;0;1;0;HetAgg
weka;BayesianLogisticRegression;1;1;1;1;5;1;HetAgg
weka;Normalize;1;1;1;0;6;0;HetAgg
weka;RandomTree;1;1;1;0;2;0;HetAgg
weka;RacedIncrementalLogitBoost;1;1;1;0;4;0;HetAgg
weka;PredictionAppender;1;0;1;1;1;2;HetAgg
weka;Optimization;1;0;1;0;2;0;HetAgg
weka;XMLSerialization;1;0;1;1;4;1;HetAgg
weka;Discretize;1;1;1;1;14;2;HetAgg
weka;ClassifierPerformanceEvaluator;1;1;1;0;1;0;HetAgg
weka;Plot2D;1;0;1;0;9;0;HetAgg
weka;FindWithCapabilities;1;0;1;1;4;1;HetAgg
weka;PartitionedMultiFilter;1;1;0;1;0;1;HetAgg
weka;NaiveBayes;1;1;1;0;2;0;HetAgg
weka;Id3;1;1;1;0;1;0;HetAgg
weka;TextViewer;1;0;1;0;5;0;HetAgg
weka;XMLDocument;1;0;1;0;1;0;HetAgg
weka;IBk;1;1;1;1;3;2;HetAgg
weka;AddNoise;1;1;1;1;4;1;HetAgg
weka;PostscriptGraphics;1;0;1;0;14;0;HetAgg
weka;NaiveBayesSimple;1;1;1;0;1;0;HetAgg
weka;XMLInstances;1;1;1;0;5;0;HetAgg
weka;PrintableComponent;1;0;1;0;2;0;HetAgg
weka;Indexes;1;0;0;0;0;0;UniqueLC
weka;LBR;1;1;1;1;5;1;HetAgg
weka;Add;1;1;1;0;2;0;HetAgg
weka;LADTree;1;1;1;1;13;1;HetAgg
weka;Classifier;1;0;1;0;7;0;HetAgg
weka;AODE;1;1;1;0;2;0;HetAgg
weka;Instances;1;0;1;0;9;0;HetAgg
weka;LWL;1;1;1;0;1;0;HetAgg
weka;Associator;1;0;1;0;1;0;HetAgg
